Year,Region,Poverty rate,Poverty Line
2020,Peru,5.88,$2.15
2021,Peru,2.87,$2.15
1985,Philippines,28.73,$2.15
1988,Philippines,25.76,$2.15
1991,Philippines,27.2,$2.15
1994,Philippines,25.58,$2.15
1997,Philippines,18.16,$2.15
2000,Philippines,15.03,$2.15
2000,Philippines,14.45,$2.15
2003,Philippines,13.63,$2.15
2003,Philippines,13.6,$2.15
2006,Philippines,15.3,$2.15
2006,Philippines,14.94,$2.15
2009,Philippines,11.13,$2.15
2009,Philippines,11.29,$2.15
2012,Philippines,12.49,$2.15
2012,Philippines,10.94,$2.15
2015,Philippines,8.29,$2.15
2015,Philippines,6.49,$2.15
2018,Philippines,5.06,$2.15
2018,Philippines,3,$2.15
2021,Philippines,6.75,$2.15
2021,Philippines,2.99,$2.15
1985,Poland,0.2,$2.15
1986,Poland,0.25,$2.15
1987,Poland,0.15,$2.15
1989,Poland,0.09,$2.15
1992,Poland,0.22,$2.15
1993,Poland,0.17,$2.15
1995,Poland,1.74,$2.15
1996,Poland,3,$2.15
1998,Poland,0.03,$2.15
1999,Poland,0.5,$2.15
1999,Poland,0.07,$2.15
2000,Poland,0.14,$2.15
2001,Poland,0.09,$2.15
2002,Poland,0.08,$2.15
2003,Poland,0.08,$2.15
2004,Poland,0.11,$2.15
2004,Poland,2.17,$2.15
2005,Poland,0.18,$2.15
2005,Poland,0.92,$2.15
2006,Poland,0.04,$2.15
2006,Poland,0.66,$2.15
2007,Poland,0.03,$2.15
2007,Poland,0.47,$2.15
2008,Poland,0.01,$2.15
2008,Poland,0.18,$2.15
2009,Poland,0.02,$2.15
2009,Poland,0.37,$2.15
2010,Poland,0.01,$2.15
2010,Poland,0.35,$2.15
2011,Poland,0.03,$2.15
2011,Poland,0.34,$2.15
2012,Poland,0.02,$2.15
2012,Poland,0.2,$2.15
2013,Poland,0.01,$2.15
2013,Poland,0.42,$2.15
2014,Poland,0.01,$2.15
2014,Poland,0.4,$2.15
2015,Poland,0,$2.15
2015,Poland,0.43,$2.15
2016,Poland,0,$2.15
2016,Poland,0.24,$2.15
2017,Poland,0,$2.15
2017,Poland,0.35,$2.15
2018,Poland,0.01,$2.15
2018,Poland,0.25,$2.15
2019,Poland,0,$2.15
2019,Poland,0.06,$2.15
2003,Portugal,0.9,$2.15
2004,Portugal,0.54,$2.15
2005,Portugal,0.54,$2.15
2006,Portugal,0.09,$2.15
2007,Portugal,0.26,$2.15
2008,Portugal,0.14,$2.15
2009,Portugal,0.17,$2.15
2010,Portugal,0.14,$2.15
2011,Portugal,0.51,$2.15
2012,Portugal,0.7,$2.15
2013,Portugal,0.86,$2.15
2014,Portugal,0.55,$2.15
2015,Portugal,0.48,$2.15
2016,Portugal,0.37,$2.15
2017,Portugal,0.41,$2.15
2018,Portugal,0.29,$2.15
2019,Portugal,0.15,$2.15
2020,Portugal,0.47,$2.15
1989,Romania,0.28,$2.15
1992,Romania,0.55,$2.15
1994,Romania,8.91,$2.15
1995,Romania,1.75,$2.15
1997,Romania,2.25,$2.15
1998,Romania,1.66,$2.15
1999,Romania,5.33,$2.15
2000,Romania,6.22,$2.15
2001,Romania,4.44,$2.15
2002,Romania,4.59,$2.15
2003,Romania,3.18,$2.15
2004,Romania,2.24,$2.15
2005,Romania,1.77,$2.15
2006,Romania,1.93,$2.15
2006,Romania,7.36,$2.15
2007,Romania,0.86,$2.15
2007,Romania,5.31,$2.15
2008,Romania,0,$2.15
2008,Romania,4.09,$2.15
2009,Romania,0,$2.15
2009,Romania,3.13,$2.15
2010,Romania,0,$2.15
2010,Romania,4.17,$2.15
2011,Romania,0,$2.15
2011,Romania,5.38,$2.15
2012,Romania,0,$2.15
2012,Romania,6.21,$2.15
2013,Romania,0,$2.15
2013,Romania,6.62,$2.15
2014,Romania,7.02,$2.15
2015,Romania,5.27,$2.15
2016,Romania,0,$2.15
2016,Romania,3.24,$2.15
2017,Romania,3.27,$2.15
2018,Romania,0,$2.15
2018,Romania,2.67,$2.15
2019,Romania,2.16,$2.15
2020,Romania,1.41,$2.15
1993,Russian Federation,3.53,$2.15
1996,Russian Federation,4.66,$2.15
1997,Russian Federation,1.52,$2.15
1998,Russian Federation,2.28,$2.15
1999,Russian Federation,4.39,$2.15
2000,Russian Federation,2.98,$2.15
2001,Russian Federation,1.76,$2.15
2002,Russian Federation,1.01,$2.15
2003,Russian Federation,1.09,$2.15
2004,Russian Federation,1,$2.15
2005,Russian Federation,0.77,$2.15
2006,Russian Federation,0.44,$2.15
2007,Russian Federation,0.2,$2.15
2008,Russian Federation,0.09,$2.15
2009,Russian Federation,0.07,$2.15
2010,Russian Federation,0.08,$2.15
2011,Russian Federation,0.04,$2.15
2012,Russian Federation,0.03,$2.15
2013,Russian Federation,0.01,$2.15
2014,Russian Federation,0.02,$2.15
2014,Russian Federation,0.31,$2.15
2015,Russian Federation,0.04,$2.15
2015,Russian Federation,0.29,$2.15
2016,Russian Federation,0.03,$2.15
2016,Russian Federation,0.25,$2.15
2017,Russian Federation,0.03,$2.15
2017,Russian Federation,0.27,$2.15
2018,Russian Federation,0.03,$2.15
2018,Russian Federation,0.15,$2.15
2019,Russian Federation,0.03,$2.15
2020,Russian Federation,0.01,$2.15
1984,Rwanda,58.59,$2.15
2000,Rwanda,75.21,$2.15
2005,Rwanda,66.05,$2.15
2010,Rwanda,59.21,$2.15
2013,Rwanda,53.75,$2.15
2016,Rwanda,52.01,$2.15
2002,Samoa,2.18,$2.15
2008,Samoa,1.05,$2.15
2013,Samoa,1.15,$2.15
1991,Senegal,70.1,$2.15
1994,Senegal,60.25,$2.15
2001,Senegal,52.44,$2.15
2005,Senegal,41.06,$2.15
2011,Senegal,40.98,$2.15
2018,Senegal,9.34,$2.15
2002,Serbia,0.13,$2.15
2003,Serbia,0.38,$2.15
2004,Serbia,0.8,$2.15
2005,Serbia,0.79,$2.15
2006,Serbia,0.47,$2.15
2007,Serbia,0.37,$2.15
2008,Serbia,0.11,$2.15
2009,Serbia,0.14,$2.15
2010,Serbia,0.1,$2.15
2012,Serbia,5.34,$2.15
2013,Serbia,0.23,$2.15
2013,Serbia,5.84,$2.15
2014,Serbia,6.92,$2.15
2015,Serbia,0.07,$2.15
2015,Serbia,6.65,$2.15
2016,Serbia,6.36,$2.15
2017,Serbia,5.39,$2.15
2018,Serbia,0.04,$2.15
2018,Serbia,2.92,$2.15
2019,Serbia,0.05,$2.15
2019,Serbia,2.33,$2.15
2020,Serbia,1.56,$2.15
1999,Seychelles,0.76,$2.15
2006,Seychelles,0.37,$2.15
2013,Seychelles,1.24,$2.15
2018,Seychelles,0.51,$2.15
1989,Sierra Leone,67.11,$2.15
2003,Sierra Leone,61.33,$2.15
2011,Sierra Leone,38.7,$2.15
2018,Sierra Leone,26.06,$2.15
1987,Slovenia,0.02,$2.15
1993,Slovenia,0.04,$2.15
1997,Slovenia,0,$2.15
1998,Slovenia,0.03,$2.15
1999,Slovenia,0,$2.15
2002,Slovenia,0,$2.15
2003,Slovenia,0,$2.15
2004,Slovenia,0.03,$2.15
2005,Slovenia,0.1,$2.15
2006,Slovenia,0.05,$2.15
2007,Slovenia,0.03,$2.15
2008,Slovenia,0,$2.15
2009,Slovenia,0,$2.15
2010,Slovenia,0.01,$2.15
2011,Slovenia,0,$2.15
2012,Slovenia,0.03,$2.15
2013,Slovenia,0.02,$2.15
2014,Slovenia,0,$2.15
2015,Slovenia,0,$2.15
2016,Slovenia,0,$2.15
2017,Slovenia,0,$2.15
2018,Slovenia,0,$2.15
2019,Slovenia,0,$2.15
2020,Slovenia,0,$2.15
2005,Solomon Islands,50.62,$2.15
2012,Solomon Islands,26.56,$2.15
1993,South Africa,33.54,$2.15
2000,South Africa,36.83,$2.15
2005,South Africa,28.33,$2.15
2008,South Africa,18.66,$2.15
2010,South Africa,18.04,$2.15
2014,South Africa,20.49,$2.15
2009,South Sudan,34.54,$2.15
2009,South Sudan,34.54,$2.15
2016,South Sudan,67.33,$2.15
2016,South Sudan,67.33,$2.15
1980,Spain,0.5,$2.15
1985,Spain,0.24,$2.15
1990,Spain,0.49,$2.15
1995,Spain,1.24,$2.15
2000,Spain,0.49,$2.15
2003,Spain,0.81,$2.15
2004,Spain,0.82,$2.15
2005,Spain,0.74,$2.15
2006,Spain,0.77,$2.15
2007,Spain,0.36,$2.15
2008,Spain,0.49,$2.15
2009,Spain,0.81,$2.15
2010,Spain,0.68,$2.15
2011,Spain,1.13,$2.15
2012,Spain,0.94,$2.15
2013,Spain,1.14,$2.15
2014,Spain,0.79,$2.15
2015,Spain,0.9,$2.15
2016,Spain,1.13,$2.15
2017,Spain,0.68,$2.15
2018,Spain,0.84,$2.15
2019,Spain,0.79,$2.15
2020,Spain,0.89,$2.15
1985,Sri Lanka,16.95,$2.15
1990,Sri Lanka,11.62,$2.15
1995,Sri Lanka,11.78,$2.15
2002,Sri Lanka,11.02,$2.15
2006,Sri Lanka,5.63,$2.15
2009,Sri Lanka,3.5,$2.15
2012,Sri Lanka,2.59,$2.15
2016,Sri Lanka,1.3,$2.15
2019,Sri Lanka,0.96,$2.15
1999,Suriname,18.42,$2.15
1975,Sweden,0.5,$2.15
1981,Sweden,0.25,$2.15
1987,Sweden,0.25,$2.15
1992,Sweden,0.24,$2.15
1995,Sweden,0.25,$2.15
2000,Sweden,0,$2.15
2003,Sweden,0.32,$2.15
2004,Sweden,0.4,$2.15
2005,Sweden,1.08,$2.15
2006,Sweden,0.36,$2.15
2007,Sweden,0.41,$2.15
2008,Sweden,0.58,$2.15
2009,Sweden,0.46,$2.15
2010,Sweden,0.55,$2.15
2011,Sweden,0.62,$2.15
2012,Sweden,0.46,$2.15
2013,Sweden,0.65,$2.15
2014,Sweden,0.47,$2.15
2015,Sweden,0.57,$2.15
2016,Sweden,0.26,$2.15
2017,Sweden,0.25,$2.15
2018,Sweden,0.73,$2.15
2019,Sweden,0.32,$2.15
2020,Sweden,0.39,$2.15
1982,Switzerland,0.7,$2.15
1992,Switzerland,0.49,$2.15
2000,Switzerland,0,$2.15
2002,Switzerland,0,$2.15
2006,Switzerland,0.05,$2.15
2007,Switzerland,0.02,$2.15
2008,Switzerland,0.07,$2.15
2009,Switzerland,0.04,$2.15
2010,Switzerland,0.05,$2.15
2011,Switzerland,0,$2.15
2012,Switzerland,0.01,$2.15
2013,Switzerland,0.04,$2.15
2014,Switzerland,0.03,$2.15
2015,Switzerland,0.03,$2.15
2016,Switzerland,0.03,$2.15
2017,Switzerland,0,$2.15
2018,Switzerland,0.03,$2.15
1981,"Taiwan, China",0,$2.15
1986,"Taiwan, China",0,$2.15
1991,"Taiwan, China",0,$2.15
1995,"Taiwan, China",0.5,$2.15
1997,"Taiwan, China",0,$2.15
2000,"Taiwan, China",0,$2.15
2005,"Taiwan, China",0,$2.15
2007,"Taiwan, China",0,$2.15
2010,"Taiwan, China",0.24,$2.15
2013,"Taiwan, China",0,$2.15
2016,"Taiwan, China",0,$2.15
1999,Tajikistan,61.96,$2.15
2003,Tajikistan,36.75,$2.15
2004,Tajikistan,21.36,$2.15
2007,Tajikistan,12.8,$2.15
2009,Tajikistan,6.79,$2.15
2015,Tajikistan,6.11,$2.15
1981,Thailand,22.73,$2.15
1988,Thailand,18.05,$2.15
1990,Thailand,12.35,$2.15
1992,Thailand,9,$2.15
1994,Thailand,4.5,$2.15
1996,Thailand,3.09,$2.15
1998,Thailand,2.18,$2.15
1999,Thailand,3.95,$2.15
2000,Thailand,3.97,$2.15
2002,Thailand,1.76,$2.15
2004,Thailand,1.19,$2.15
2006,Thailand,0.93,$2.15
2007,Thailand,0.54,$2.15
2008,Thailand,0.3,$2.15
2009,Thailand,0.25,$2.15
2010,Thailand,0.27,$2.15
2011,Thailand,0.07,$2.15
2012,Thailand,0.12,$2.15
2013,Thailand,0.06,$2.15
2014,Thailand,0.09,$2.15
2015,Thailand,0.05,$2.15
2016,Thailand,0.04,$2.15
2017,Thailand,0.04,$2.15
2018,Thailand,0.03,$2.15
2019,Thailand,0.1,$2.15
2020,Thailand,0.05,$2.15
2021,Thailand,0.01,$2.15
2006,Togo,60.97,$2.15
2011,Togo,58.89,$2.15
2015,Togo,54.69,$2.15
2018,Togo,28.07,$2.15
2000,Tonga,3.09,$2.15
2009,Tonga,1.26,$2.15
2015,Tonga,1.79,$2.15
1988,Trinidad and Tobago,0,$2.15
1992,Trinidad and Tobago,2.08,$2.15
1985,Tunisia,12.29,$2.15
1990,Tunisia,8.55,$2.15
1995,Tunisia,9.48,$2.15
2000,Tunisia,4.38,$2.15
2005,Tunisia,2.57,$2.15
2010,Tunisia,1.5,$2.15
2015,Tunisia,0.14,$2.15
1998,Turkmenistan,43.12,$2.15
1989,Uganda,59.4,$2.15
1992,Uganda,65.86,$2.15
1996,Uganda,64.93,$2.15
1999,Uganda,68.67,$2.15
2002,Uganda,66.7,$2.15
2005,Uganda,58.03,$2.15
2009,Uganda,46.72,$2.15
2012,Uganda,37.54,$2.15
2016,Uganda,42.73,$2.15
2019,Uganda,42.21,$2.15
1992,Ukraine,3.91,$2.15
1993,Ukraine,1.95,$2.15
1995,Ukraine,7.1,$2.15
1996,Ukraine,7.21,$2.15
1999,Ukraine,11.73,$2.15
2002,Ukraine,2.66,$2.15
2003,Ukraine,1.14,$2.15
2004,Ukraine,0.93,$2.15
2005,Ukraine,0.4,$2.15
2006,Ukraine,0.16,$2.15
2007,Ukraine,0.1,$2.15
2008,Ukraine,0.03,$2.15
2009,Ukraine,0.07,$2.15
2010,Ukraine,0.01,$2.15
2011,Ukraine,0.01,$2.15
2012,Ukraine,0.11,$2.15
2013,Ukraine,0,$2.15
2014,Ukraine,0.01,$2.15
2015,Ukraine,0.12,$2.15
2016,Ukraine,0.1,$2.15
2017,Ukraine,0.03,$2.15
2018,Ukraine,0.01,$2.15
2019,Ukraine,0,$2.15
2020,Ukraine,0.03,$2.15
2013,United Arab Emirates,0,$2.15
2018,United Arab Emirates,0,$2.15
1981,Uruguay,0,$2.15
1989,Uruguay,0.68,$2.15
1992,Uruguay,0.56,$2.15
1995,Uruguay,0.53,$2.15
1996,Uruguay,0.59,$2.15
1997,Uruguay,0.57,$2.15
1998,Uruguay,0.64,$2.15
2000,Uruguay,0.66,$2.15
2001,Uruguay,0.5,$2.15
2002,Uruguay,0.63,$2.15
2003,Uruguay,0.81,$2.15
2004,Uruguay,1.03,$2.15
2005,Uruguay,0.86,$2.15
2006,Uruguay,0.56,$2.15
2007,Uruguay,0.38,$2.15
2008,Uruguay,0.23,$2.15
2009,Uruguay,0.28,$2.15
2010,Uruguay,0.17,$2.15
2011,Uruguay,0.14,$2.15
2012,Uruguay,0.17,$2.15
2013,Uruguay,0.17,$2.15
2014,Uruguay,0.15,$2.15
2015,Uruguay,0.15,$2.15
2016,Uruguay,0.09,$2.15
2017,Uruguay,0.07,$2.15
2018,Uruguay,0.06,$2.15
2019,Uruguay,0.1,$2.15
2020,Uruguay,0.21,$2.15
2021,Uruguay,0.11,$2.15
1998,Uzbekistan,58.81,$2.15
2000,Uzbekistan,81.34,$2.15
2002,Uzbekistan,80.47,$2.15
2003,Uzbekistan,81.5,$2.15
1998,"Yemen, Rep.",8.1,$2.15
2005,"Yemen, Rep.",10.54,$2.15
2014,"Yemen, Rep.",19.8,$2.15
1991,Zambia,57.44,$2.15
1993,Zambia,59.06,$2.15
1996,Zambia,46.77,$2.15
1998,Zambia,47.23,$2.15
2002,Zambia,56.39,$2.15
2004,Zambia,61.06,$2.15
2006,Zambia,64.7,$2.15
2010,Zambia,68.46,$2.15
2015,Zambia,61.35,$2.15
2011,Zimbabwe,21.58,$2.15
2017,Zimbabwe,34.21,$2.15
2019,Zimbabwe,39.75,$2.15
